sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
Fenix21_CG_F,FENIX21,CG211015,CG,capasso_geyser,F,40.690045,15.251482,NA,NA,NA,Peripheral,196,47.2,6.51,9.78,5.28,NA,NA,1400,NA,NA,1708,6.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.057,14.15,116.495,134.895,186.325,920.004,NA,13.637,NA,NA,220.489,NA,0,4.391,3.128,0.018,1.405,,,3.363,
Fenix21_CG_S,FENIX21,CG211015,CG,capasso_geyser,S,40.690045,15.251482,NA,NA,NA,Peripheral,196,47.2,6.51,9.78,5.28,NA,NA,1400,NA,NA,1708,6.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.057,14.15,116.495,134.895,186.325,920.004,NA,13.637,NA,NA,220.489,NA,0,4.391,3.128,0.018,1.405,,,3.363,
Fenix21_FE_F,FENIX21,FE211015,FE,sorgente_ferrata,F,40.651557,15.229379,NA,NA,NA,Peripheral,143,15.22,6.49,1.946,1,NA,NA,800,NA,NA,976,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.444,0.018,6.538,35.043,142.431,33.37,NA,12.3,0.062,NA,19.499,NA,2.291,1.032,5.741,0.03,2.303,,,,7.503
Fenix21_FE_S,FENIX21,FE211015,FE,sorgente_ferrata,S,40.651557,15.229379,NA,NA,NA,Mature,143,15.22,6.49,1.946,1,NA,NA,800,NA,NA,976,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.444,0.018,6.538,35.043,142.431,33.37,NA,12.3,0.062,NA,19.499,NA,2.291,1.032,5.741,0.03,2.303,,,,7.503
Fenix21_GA_F,FENIX21,GA211029,GA,grotta_dell'acqua,F,40.825108,14.059695,NA,NA,NA,Mature,0.2,32.6,6.41,16.738,10,NA,NA,800,NA,NA,976,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3181.466,1.705,228.69,17.694,164.884,4862.656,NA,14.892,2.082,NA,149.413,NA,31.556,969.231,3.052,0.136,1.338,,5.979,8.408,
Fenix21_GA_S,FENIX21,GA211029,GA,grotta_dell'acqua,S,40.825108,14.059695,NA,NA,NA,Mature,0.2,32.6,6.41,16.738,10,NA,NA,800,NA,NA,976,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3181.466,1.705,228.69,17.694,164.884,4862.656,NA,14.892,2.082,NA,149.413,NA,31.556,969.231,3.052,0.136,1.338,,5.979,8.408,
Fenix21_LS_F,FENIX21,LS211029,LS,lido_scoglio,F,40.82538,14.077299,NA,NA,NA,Mature,0,47.8,6.12,33.106,21,NA,NA,600,NA,NA,732,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7005.029,2.629,357.211,170.733,358.073,11687.571,NA,34.487,3.456,NA,655.519,NA,20.677,3659.388,16.117,0.932,3.628,,10.426,9.134,41.174
Fenix21_LS_S,FENIX21,LS211029,LS,lido_scoglio,S,40.82538,14.077299,NA,NA,NA,Peripheral,0,47.8,6.12,33.106,21,NA,NA,600,NA,NA,732,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7005.029,2.629,357.211,170.733,358.073,11687.571,NA,34.487,3.456,NA,655.519,NA,20.677,3659.388,16.117,0.932,3.628,,10.426,9.134,41.174
Fenix21_ML_F,FENIX21,ML210924,ML,madonna_dei_lattani,F,41.302894,13.984734,NA,NA,NA,Volcanic,850,15,8.6,0.22,0.11,NA,4.27,200,NA,NA,244,-15.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.171,0.001,3.017,4.07,14.523,8.67,NA,0.085,0.006,NA,1.334,NA,2.372,,1.08,0.006,1.597,,,,18.808
Fenix21_PI_F,FENIX21,PI210924,PI,piccolo_inferno,F,41.314487,13.894006,NA,NA,NA,Volcanic,61,29.5,2.13,3.27,1.69,NA,27,0,NA,NA,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.098,0.088,170.958,33.448,117.375,24.89,NA,NA,NA,0.89,3857.569,NA,585.89,4113.78,160438.324,65.541,62.494,,,0.859,455.79
Fenix21_PI_S,FENIX21,PI210924,PI,piccolo_inferno,S,41.314487,13.894006,NA,NA,NA,Volcanic,61,29.5,2.13,3.27,1.69,NA,27,0,NA,NA,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.098,0.088,170.958,33.448,117.375,24.89,NA,NA,NA,0.89,3857.569,NA,585.89,4113.78,160438.324,65.541,62.494,,,0.859,455.79
Fenix21_SI1_F,FENIX21,SI1210715,SI1,hotel_sinuessa_anfora,F,41.140743,13.856239,NA,NA,NA,Peripheral,51,34,5.98,6.555,7.73,10.4,-318,1000,NA,NA,1220,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.359,0.291,6.614,8.783,15.546,NA,NA,NA,NA,NA,NA,NA,1.123,201.072,339.051,0.066,,,,,
Fenix21_SI1_S,FENIX21,SI1210715,SI1,hotel_sinuessa_anfora,S,41.140743,13.856239,NA,NA,NA,Peripheral,51,34,5.98,6.555,7.73,10.4,-318,1000,NA,NA,1220,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.359,0.291,6.614,8.783,15.546,NA,NA,NA,NA,NA,NA,NA,1.123,201.072,339.051,0.066,,,,,
Fenix21_SI2_F,FENIX21,SI2210715,SI2,hotel_sinuess_pozzo,F,41.140756,13.85666,NA,NA,NA,Peripheral,53,44,6.27,7.8,9.34,25,-312,1400,NA,NA,1708,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.874,2.775,67.349,92.136,172.052,840.73,NA,3.18,NA,NA,404.905,NA,0.351,0.785,1.141,,,,,,
Fenix21_SI2_S,FENIX21,SI2210715,SI2,hotel_sinuess_pozzo,S,41.140756,13.85666,NA,NA,NA,Peripheral,53,44,6.27,7.8,9.34,25,-312,1400,NA,NA,1708,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.874,2.775,67.349,92.136,172.052,840.73,NA,3.18,NA,NA,404.905,NA,0.351,0.785,1.141,,,,,,
Fenix21_SN_F,FENIX21,SN211029,SN,stufe_nerone,F,40.826908,14.076022,NA,NA,NA,Mature,8,63,6.1,33.106,21,NA,NA,400,NA,NA,488,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6720.794,5.253,279.878,174.164,326.701,11255.129,NA,34.326,1.573,NA,567.924,NA,21.548,1520.668,283.165,0.279,1.783,,13.675,11.115,48.973
Fenix21_SP_F,FENIX21,SP210924,SP,sorgente_petrinum,F,41.125096,13.890296,NA,NA,NA,Peripheral,45,32.5,6.2,0.7,0.55,NA,-565,2000,NA,NA,2440,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.747,53.658,166.144,NA,886.98,NA,2.506,NA,NA,75.715,NA,0.439,49.866,0.677,0.008,,,,,
Fenix21_SP_S,FENIX21,SP210924,SP,sorgente_petrinum,S,41.125096,13.890296,NA,NA,NA,Peripheral,45,32.5,6.2,0.7,0.55,NA,-565,2000,NA,NA,2440,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.747,53.658,166.144,NA,886.98,NA,2.506,NA,NA,75.715,NA,0.439,49.866,0.677,0.008,,,,,
Fenix21_VR_S,FENIX21,VR211015,VR,varchera,S,40.705666,15.222618,NA,NA,NA,NA,281,14,5.98,8.85,5,NA,NA,1000,NA,NA,1220,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8,0.039,8.217,153.948,693.455,41.6,NA,NA,NA,NA,1678.511,NA,1.615,12745.77,1860.375,0.188,5.567,5.567,,,5.974
ICE21_GN1_F,ICE21,NA,GN1,Gunnuhver,F,63.819344,63.819344,NA,NA,NA,Mature,85,77.9,2.33,21.294,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598.963,6.089,172.702,56.709,188.979,2601.025,NA,NA,NA,NA,NA,NA,332.099,1531.931,91035.7,51.874,96.181,0.427,,0.378,560.798
ICE21_GN2_F,ICE21,NA,GN2,Gunnuhver,F,63.819334,63.819334,NA,NA,NA,Mature,86,88,1.25,12.186,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908.982,9.343,98.771,34.874,93.728,1398.838,NA,NA,NA,NA,NA,NA,147.34,1014.074,68824.49,10.631,31.851,0.609,,,1428.299
ICE21_HV1_F,ICE21,NA,HV1,Hveragerdi,F,64.008117,64.008117,NA,NA,NA,Mature,188,93.5,2.72,2.648,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.656,0.059,1.499,44.524,71.753,1.483,NA,NA,NA,NA,NA,NA,7.32,2984.207,2716.633,84.542,108.862,388.341,,,8607.396
ICE21_HV1_S,ICE21,NA,HV1,Hveragerdi,S,64.008117,64.008117,NA,NA,NA,Mature,188,93.5,2.72,2.648,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.656,0.059,1.499,44.524,71.753,1.483,NA,NA,NA,NA,NA,NA,7.32,2984.207,2716.633,84.542,108.862,388.341,,,8607.396
ICE21_HV2_F,ICE21,NA,HV2,Hveragerdi,F,64.007062,64.007062,NA,NA,NA,Mature,118,25.7,1.82,1.994,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.665,1.419,7.637,68.365,107.216,2.36,NA,NA,NA,NA,NA,NA,1.639,3974.539,39773.37,185.609,352.979,291.097,,,554.983
ICE21_HV2_S,ICE21,NA,HV2,Hveragerdi,S,64.007062,64.007062,NA,NA,NA,Mature,118,25.7,1.82,1.994,NA,143,NA,NA,NA,NA,dic,d13_dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.665,1.419,7.637,68.365,107.216,2.36,NA,NA,NA,NA,NA,NA,1.639,3974.539,39773.37,185.609,352.979,291.097,,,554.983
ICE21_KR1_F,ICE21,NA,KR1,Krysuvik,F,63.89546,63.89546,NA,NA,NA,Mature,246,87.5,3.1,2.543,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.776,1.444,0.933,9.366,12.009,6.899,NA,NA,NA,NA,NA,NA,96.709,393.608,24728.96,4.93,19.352,1.162,,,1113.279
ICE21_KR1_S,ICE21,NA,KR1,Krysuvik,S,63.89546,63.89546,NA,NA,NA,Mature,246,87.5,3.1,2.543,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.776,1.444,0.933,9.366,12.009,6.899,NA,NA,NA,NA,NA,NA,96.709,393.608,24728.96,4.93,19.352,1.162,,,1113.279
ICE21_KR2_F,ICE21,NA,KR2,Krysuvik,F,63.895451,63.895451,NA,NA,NA,Mature,247,93,2.04,3.388,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.304,0.619,0.785,5.972,13.196,3.538,NA,NA,NA,NA,NA,NA,80.602,205.366,21148.28,10.493,24.341,0.982,,,944.722
ICE21_KR2_S,ICE21,NA,KR2,Krysuvik,S,63.895451,63.895451,NA,NA,NA,Mature,247,93,2.04,3.388,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.304,0.619,0.785,5.972,13.196,3.538,NA,NA,NA,NA,NA,NA,80.602,205.366,21148.28,10.493,24.341,0.982,,,944.722
