sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
CR18_LB_F,CR18,LB180410,LB,Los Bajos,F,8.80736,-79.79061,NA,Arc,NA,Peripheral,26,34.8,NA,19528,25.35,70,NA,NA,NA,NA,17.74,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,135.06,NA,2.69,4.5,0.42,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_LB_S,CR18,LB180410,LB,Los Bajos,S,8.80736,-79.79061,NA,Arc,NA,Peripheral,26,34.8,NA,19528,25.35,70,NA,NA,NA,NA,17.74,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,135.06,NA,2.69,4.5,0.42,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR18_LE_F,CR18,LE180416,LE,Las Estrella,F,10.427103,-84.368543,NA,Arc,NA,Mature,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,11.37,0.27,0.62,2.4,14.06,17.56,NA,0.02,NA,NA,0.38,NA,,,,,,,,,
CR18_LE_S,CR18,LE180416,LE,Las Estrella,S,10.427103,-84.368543,NA,Arc,NA,Mature,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,w,NA,NA,NA,NA,NA,NA,NA,11.37,0.27,0.62,2.4,14.06,17.56,NA,0.02,NA,NA,0.38,NA,,,,,,,,,
CR18_LH_F,CR18,LH180406,LH,Los Pozos Thermales (hot),F,8.87095,-82.6899,NA,Forearc,NA,Peripheral,1676,55.4,6.7,7100,8.43,12,NA,NA,NA,NA,33.54,-2.2,NA,NA,997.33,NA,0,0,0.57,0.05,2.04,0,0,NA,NA,g,0.03,7.48,7.62,45.58,14.52,2913199250395.63,NA,31.02,NA,1.26,0.65,0.43,37.97,NA,0.03,NA,NA,2.53,NA,,,,,,,,,
CR18_LH_S,CR18,LH180406,LH,Los Pozos Thermales (hot),S,8.87095,-82.6899,NA,Forearc,NA,Peripheral,1676,55.4,6.7,7100,8.43,12,NA,NA,NA,NA,33.54,-2.2,NA,NA,997.33,NA,0,0,0.57,0.05,2.04,0,0,NA,NA,g,0.03,7.48,7.62,45.58,14.52,2913199250395.63,NA,31.02,NA,1.26,0.65,0.43,37.97,NA,0.03,NA,NA,2.53,NA,,,,,,,,,
CR18_LP_F,CR18,LP180406,LP,Los Pozos Thermales (warm),F,8.86966,-82.69282,NA,Forearc,NA,Peripheral,1651,39.1,6.5,5100,5.88,32,NA,NA,NA,NA,31.33,-1.47,NA,NA,991.25,NA,0,0,1.89,0.07,6.79,0,0,NA,NA,g,0.14,6.34,7,9.11,2.9,794232194344.08,NA,30.18,0.18,1.49,0.94,1.36,30.45,NA,0.02,NA,NA,1.74,NA,,,,,,,,,
CR18_LW_F,CR18,LP180406,LP,Los Pozos Thermales (warm),F,8.86966,-82.69282,NA,Forearc,NA,Peripheral,1651,39.1,6.5,5100,5.88,32,NA,NA,NA,NA,31.33,-1.47,NA,NA,991.25,NA,0,0,1.89,0.07,6.79,0,0,NA,NA,g,0.14,6.34,7,9.11,2.9,794232194344.08,NA,30.18,0.18,1.49,0.94,1.36,30.45,NA,0.02,NA,NA,1.74,NA,,,,,,,,,
CR18_LW_S,CR18,LW180405,LW,Laurel,S,8.44119,-82.90487,NA,Outer Forearc,NA,Peripheral,32,31.5,7.1,574,0.55,3.5,NA,NA,NA,NA,7.11,-2.95,NA,NA,816.92,NA,0.01,0.04,3.68,0.64,21.13,157.58,0,-9.13,NA,w,NA,NA,1.2,NA,NA,NA,NA,1.97,0.17,0.26,0.76,0.48,0.15,NA,NA,NA,NA,0.01,NA,,,,,,,,,
CR18_MC_F,CR18,MC180404,MC,Montecarlo - Bernardino,F,9.34391,-83.59565,NA,Forearc,NA,Mature,812,31.8,9.6,2176,2.33,23,NA,NA,NA,NA,0.04,-14.31,NA,NA,0,NA,0.22,0.16,16.02,15.53,967.44,0.63,0,0,NA,w,NA,NA,2.36,NA,NA,NA,NA,13.81,NA,0.09,0.06,3.54,20.06,NA,0.02,NA,NA,4.94,NA,,,,,,,,,
